"county","tract","blockgroup","state","puma22","stab","CountyName","PUMA22name","pop20","afact"
"County code","Tract","Block group","State code","PUMA (2022)","State abbr.","County name","PUMA22 name","Total population (2020 Census)","blockgroup-to-puma22 allocation factor"
"06097","1538.11","1","06","09704","CA","Sonoma CA","Sonoma County (North)--Windsor Town, Healdsburg & Cloverdale Cities",2528,1 
"06097","1538.11","2","06","09704","CA","Sonoma CA","Sonoma County (North)--Windsor Town, Healdsburg & Cloverdale Cities",809,1 
"06097","1538.11","3","06","09704","CA","Sonoma CA","Sonoma County (North)--Windsor Town, Healdsburg & Cloverdale Cities",1817,1 
"06097","1539.02","1","06","09704","CA","Sonoma CA","Sonoma County (North)--Windsor Town, Healdsburg & Cloverdale Cities",1792,1 
"06097","1539.02","2","06","09704","CA","Sonoma CA","Sonoma County (North)--Windsor Town, Healdsburg & Cloverdale Cities",781,1 
"06097","1539.02","3","06","09704","CA","Sonoma CA","Sonoma County (North)--Windsor Town, Healdsburg & Cloverdale Cities",876,1 
"06097","1539.02","4","06","09704","CA","Sonoma CA","Sonoma County (North)--Windsor Town, Healdsburg & Cloverdale Cities",987,1 
"06097","1539.03","1","06","09704","CA","Sonoma CA","Sonoma County (North)--Windsor Town, Healdsburg & Cloverdale Cities",942,1 
"06097","1539.03","2","06","09704","CA","Sonoma CA","Sonoma County (North)--Windsor Town, Healdsburg & Cloverdale Cities",803,1 
"06097","1539.03","3","06","09704","CA","Sonoma CA","Sonoma County (North)--Windsor Town, Healdsburg & Cloverdale Cities",628,1 
"06097","1539.03","4","06","09704","CA","Sonoma CA","Sonoma County (North)--Windsor Town, Healdsburg & Cloverdale Cities",1215,1 
"06097","1539.04","1","06","09704","CA","Sonoma CA","Sonoma County (North)--Windsor Town, Healdsburg & Cloverdale Cities",1013,1 
"06097","1539.04","2","06","09704","CA","Sonoma CA","Sonoma County (North)--Windsor Town, Healdsburg & Cloverdale Cities",740,1 
"06097","1539.05","1","06","09704","CA","Sonoma CA","Sonoma County (North)--Windsor Town, Healdsburg & Cloverdale Cities",751,1 
"06097","1539.05","2","06","09704","CA","Sonoma CA","Sonoma County (North)--Windsor Town, Healdsburg & Cloverdale Cities",2328,1 
"06097","1539.05","3","06","09704","CA","Sonoma CA","Sonoma County (North)--Windsor Town, Healdsburg & Cloverdale Cities",312,1 
"06097","1540.00","1","06","09704","CA","Sonoma CA","Sonoma County (North)--Windsor Town, Healdsburg & Cloverdale Cities",480,1 
"06097","1540.00","2","06","09704","CA","Sonoma CA","Sonoma County (North)--Windsor Town, Healdsburg & Cloverdale Cities",621,1 
"06097","1540.00","3","06","09704","CA","Sonoma CA","Sonoma County (North)--Windsor Town, Healdsburg & Cloverdale Cities",1134,1 
"06097","1541.00","1","06","09704","CA","Sonoma CA","Sonoma County (North)--Windsor Town, Healdsburg & Cloverdale Cities",691,1 
"06097","1541.00","2","06","09704","CA","Sonoma CA","Sonoma County (North)--Windsor Town, Healdsburg & Cloverdale Cities",1247,1 
"06097","1541.00","3","06","09704","CA","Sonoma CA","Sonoma County (North)--Windsor Town, Healdsburg & Cloverdale Cities",876,1 
"06097","1541.00","4","06","09704","CA","Sonoma CA","Sonoma County (North)--Windsor Town, Healdsburg & Cloverdale Cities",585,1 
"06097","1542.01","1","06","09704","CA","Sonoma CA","Sonoma County (North)--Windsor Town, Healdsburg & Cloverdale Cities",1548,1 
"06097","1542.01","2","06","09704","CA","Sonoma CA","Sonoma County (North)--Windsor Town, Healdsburg & Cloverdale Cities",732,1 
"06097","1542.01","3","06","09704","CA","Sonoma CA","Sonoma County (North)--Windsor Town, Healdsburg & Cloverdale Cities",788,1 
